,time,Fish schools,Fishermen,Average wallet,Average school size,Total fish,Available food,Cumulative gain,Fish price
0,0,300,100,100.0,100.0,300.0,1600,0.0,100.0
1,24,275,120,196.4583333333334,84.02272727272727,231.0625,766,11574.99999999955,100.0
2,72,250,128,252.1232614505309,91.55707353881726,228.89268384704314,780,17892.11142321949,133.16687473990845
3,120,199,144,290.3104401193279,104.31440192765457,207.58565983603262,873,25304.204001409387,100.0580875002817
4,168,167,141,328.70040760178864,112.86014215014582,188.4764373907435,931,28890.13207499423,100.01060094118954
5,216,158,138,384.14638250125114,102.41441439273018,161.81477474051368,1003,34301.109817124685,99.82002796993525
6,264,144,139,421.4896313143114,92.31782747398846,132.9376715625434,1049,38844.43153588058,106.70120958201635
7,312,118,128,492.9650048548555,86.49159045416421,102.06007673591377,1092,42810.38592765961,98.75995923743993
8,360,96,125,553.2872969282837,70.07828664450827,67.27515517872794,1145,48029.19098221023,113.99648818533545
9,408,63,124,564.3186423503602,61.90041566429579,38.99726186850635,1245,47905.67170641262,112.07889889822559
10,456,42,113,601.2541041392708,55.67382099979924,23.383004819915683,1371,45942.31631468783,163.64465744778008
11,504,23,108,582.7929623447914,66.3792839914844,15.267235318041413,1464,40926.887757121076,178.8161538569266
12,552,15,99,572.8514454208259,67.28340465223428,10.092510697835143,1500,34670.49097956086,201.6815652524612
13,600,11,88,557.8397709773477,75.79713530571426,8.337684883628569,1534,27015.072228750807,116.44557048776302
14,648,9,80,536.8072794303285,58.774235140519096,5.289681162646718,1541,20845.787254219507,194.19229029278813
15,696,7,77,474.06067658034686,65.68714564126053,4.598100194888237,1545,14393.454806165455,131.26301148783605
16,744,5,66,458.8438622907585,60.9972667733643,3.049863338668215,1562,8142.290352948608,121.42857142857143
17,792,4,56,438.9651093860316,57.02610982960631,2.2810443931842523,1577,2411.4821561099584,98.58399681851596
18,840,4,48,416.2941327529783,41.048506931473504,1.6419402772589402,1575,-2214.9338470714956,250.0
19,888,3,40,392.51902490951613,58.81656827943231,1.7644970483829692,1581,-6521.18384707126,133.33333333333334
20,936,3,32,383.39675819517623,69.93339694333407,2.0980019083000223,1579,-9979.517180404871,204.60563937414062
21,984,3,24,405.13142040491925,73.1335107825826,2.194005323477478,1575,-12549.911541031537,73.31176230470898
22,1032,2,20,380.33026466699425,108.79755448256402,2.1759510896512806,1589,-14678.28801642278,66.66666666666667
23,1080,2,18,332.57244016810387,116.30937795060936,2.326187559012187,1588,-16303.288016423327,250.0
24,1128,2,18,275.6811568770599,82.95103113065667,1.6590206226131334,1588,-17532.454683089043,25.0
25,1176,2,11,333.8455490351714,84.91905446055526,1.6983810892111053,1586,-18847.03801642146,133.33333333333334
26,1224,2,10,262.2565233552653,101.65581674515121,2.033116334903024,1586,-19899.12134975418,150.0
27,1272,3,7,262.07257082885684,75.88803417211244,2.2766410251633733,1583,-20695.78801642037,20.0
28,1320,3,5,246.45467135501895,77.96217779861972,2.3388653339585916,1582,-21304.95468308667,20.0
29,1368,3,2,445.87043445652284,92.67501318863918,2.7802503956591758,1584,-21657.0380164198,20.0
30,1416,3,2,345.87043445652176,113.35121224487864,3.4005363673463593,1580,-21857.038016419683,20.0
31,1464,4,2,245.8704344565214,101.72841619596939,4.069136647838776,1571,-22057.038016419567,20.0
32,1512,4,1,377.6180088047409,123.15778878615026,4.926311551446011,1576,-22173.704683086165,20.0
33,1560,4,1,277.6180088047418,146.34132758840013,5.853653103536005,1574,-22273.704683086107,20.0
34,1608,5,1,177.61800880474163,143.1256980242439,7.156284901212195,1569,-22373.70468308605,20.0
35,1656,7,1,77.61800880474154,123.79442524982458,8.665609767487721,1553,-22473.70468308599,20.0
36,1704,7,1,81.25000000000004,148.24019165249564,10.376813415674695,1552,-22573.704683085933,20.0
37,1752,7,1,89.58333333333336,177.98184592696072,12.458729214887251,1559,-22669.53801641921,20.0
38,1800,13,1,97.91666666666667,115.87795504142818,15.064134155385664,1525,-22765.371349752488,20.0
39,1848,14,1,-2.083333333333283,127.8162677564712,17.89427748590597,1518,-22865.37134975243,20.0
40,1896,14,1,6.2500000000000515,153.86179464578728,21.54065125041022,1516,-22961.204683085707,20.0
41,1944,17,1,14.583333333333387,150.49327598390633,25.583856917264075,1492,-23057.038016418985,20.0
42,1992,25,1,42.91666666666672,120.67700554819757,30.169251387049396,1450,-23132.871349752262,20.0
43,2040,26,1,47.91666666666673,137.9760456197932,35.87377186114623,1439,-23230.788016418872,20.0
44,2088,28,1,56.25000000000007,153.6623975572133,43.02547131601972,1430,-23326.62134975215,200.0
45,2136,35,1,64.58333333333341,146.85484220917047,51.399194773209665,1389,-23422.454683085427,20.0
46,2184,50,1,89.58333333333336,121.93795046918095,60.968975234590474,1308,-23500.371349752037,20.0
47,2232,55,1,9.583333333333385,133.4251288700354,73.38382087851947,1306,-23580.37134975198,20.0
48,2280,57,1,14.583333333333387,153.87174037105873,87.70689201150348,1292,-23678.288016418588,250.0
49,2328,74,2,67.91666666666677,140.96974898378053,104.3176142479976,1226,-23761.204683085183,20.0
50,2376,97,3,99.02777777777779,128.39740970349297,124.54548741238818,1136,-23907.871349751753,20.0
51,2424,109,10,96.4166666666667,134.7254589751554,146.8507502829194,1102,-23940.788016418202,100.0
52,2472,119,10,100.18333333333348,143.21252405379897,170.42290362402076,1053,-24318.538016417508,24.0
53,2520,147,4,166.9803921568629,135.64663586701502,199.4005547245121,990,-24672.61644778961,73.52941176470588
54,2568,181,41,199.4076142652183,127.52518921643049,230.8205924817392,911,-20864.82583154254,242.85714285714286
55,2616,192,66,229.34069688481452,124.70766021375861,239.43870761041654,910,-17091.96868868456,20.0
56,2664,206,41,357.5672600492782,120.53300993528902,248.29800046669538,885,-17731.53035439237,60.23025863717217
57,2712,225,57,370.98052473672055,115.6907224673625,260.3041255515656,827,-13154.977071870213,112.280084359016
58,2760,224,82,402.80728967806516,111.6895929426113,250.1846881914493,819,-4081.272302958161,74.07987861785558
59,2808,219,103,422.01747156260893,100.12203363453197,219.26725365962503,815,3943.8295143891187,72.34954946249104
60,2856,211,112,450.21663812525014,96.92874688411088,204.51965592547396,856,8962.14536019874,99.88799389688529
61,2904,186,119,520.4825060721305,93.58183603662503,174.06221502812255,897,18631.117938019772,100.0559049522646
62,2952,161,128,536.0094748157715,92.85530965228091,149.49704854017224,974,23259.050485758926,100.03238684580884
63,3000,132,133,587.0319221401782,83.41283201471407,110.10493825942258,1029,31289.075855815256,99.82634583678124
64,3048,90,135,602.3338129938774,84.54948444679486,76.09453600211538,1151,33497.015770162405,100.14246683255016
65,3096,68,126,650.897756930718,79.022760607704,53.73547721323872,1242,34193.992669589905,137.8736324332355
66,3144,50,121,698.6468185893945,65.76674921235883,32.883374606179416,1322,36184.61799126588,154.38998383446173
67,3192,35,112,716.7158607544859,61.15488190037286,21.4042086651305,1388,31888.33853795722,116.6374354566321
68,3240,17,105,720.4337478254158,50.10645067680451,8.518096615056768,1485,27240.290166031722,151.8156336283703
69,3288,7,98,708.7130604856371,36.21263175307727,2.5348842227154087,1555,21025.018241626094,162.62435711629536
70,3336,2,91,664.8028162420374,41.69423663233478,0.8338847326466956,1585,12046.205040743771,218.7303944337983
71,3384,2,82,633.0839946378661,47.84282413978627,0.9568564827957254,1592,3433.705040743197,250.0
72,3432,2,68,655.4002640023696,37.40435552832033,0.7480871105664066,1585,-3959.6282925903174,20.0
73,3480,2,61,627.5055820841936,45.90139941749533,0.9180279883499065,1587,-10270.044959257002,20.0
74,3528,1,55,591.8760725522316,89.93820123991247,0.8993820123991247,1592,-16015.878292592008,200.0
75,3576,1,51,534.3611201002043,106.47565732041495,1.0647565732041495,1594,-21328.378292589237,20.0
76,3624,1,42,541.9747524810466,116.67676762684897,1.1667676762684898,1592,-25847.128292586607,20.0
77,3672,1,35,546.7009784076653,87.7007610953443,0.877007610953443,1593,-29498.794959251125,20.0
78,3720,1,32,495.47021237765796,91.23007248610325,0.9123007248610325,1596,-32787.128292582565,100.0
79,3768,1,26,501.09890462446094,90.29145222864523,0.9029145222864523,1593,-35633.79495925257,20.0
80,3816,1,23,458.97448670440264,73.74583845678724,0.7374583845678724,1596,-38115.878292588815,20.0
81,3864,1,16,540.0123222397666,69.39380302028104,0.6939380302028104,1591,-40053.37829259107,100.0
82,3912,1,15,475.2825114824657,87.1776126352225,0.871776126352225,1596,-41567.96162592617,20.0
83,3960,1,14,405.7920066186037,103.2774682514365,1.032774682514365,1593,-43020.04495926119,20.0
84,4008,1,13,334.1237413219958,121.7486238894376,1.217486238894376,1593,-44359.628292596084,20.0
85,4056,1,13,234.12374132199562,147.21051450945725,1.4721051450945726,1592,-45659.6282925976,20.0
86,4104,1,9,213.4126996664249,162.34602603705991,1.6234602603705992,1594,-46795.044959265586,20.0
87,4152,2,5,232.6727347172652,100.89733210007209,2.017946642001442,1586,-47563.79495926648,20.0
88,4200,2,3,249.26407599816773,108.74877084024631,2.174975416804926,1588,-47986.71162593364,100.0
89,4248,2,2,271.150273904253,125.31780799512072,2.5063561599024142,1589,-48195.044959267216,20.0
90,4296,2,2,171.1502739042535,149.79419715447818,2.995883943089564,1587,-48395.04495926745,20.0
91,4344,2,1,213.5930241477931,173.5741837884429,3.471483675768858,1586,-48526.2949592676,20.0
92,4392,3,1,113.59302414779275,138.8212009086303,4.164636027258909,1580,-48626.29495926772,20.0
93,4440,4,1,13.593024147792825,124.3512399112104,4.974049596448416,1577,-48726.294959267834,20.0
94,4488,4,1,22.916666666666718,149.530181717853,5.98120726871412,1570,-48820.04495926794,20.0
95,4536,5,1,31.250000000000046,142.46356384170014,7.123178192085007,1572,-48915.87829260139,20.0
96,4584,6,1,39.583333333333385,143.58033471926532,8.61482008315592,1558,-49011.71162593483,20.0
