,time,Fish schools,Fishermen,Average wallet,Average school size,Total fish,Available food,Cumulative gain,Fish price
0,0,300,100,100.0,100.0,300.0,1600,0.0,100.0
1,24,280,123,184.7052845528455,84.24107142857143,235.875,761,10418.749999999849,100.0
2,72,203,142,246.45280352352793,91.87998007835677,186.51635955906423,872,20587.964767011847,77.93472966390648
3,120,166,149,317.7080346005489,95.09438203608205,157.8566741798962,980,30879.402740816404,164.06945555621192
4,168,123,158,370.0361885553563,101.3617586218026,124.6749631048172,1047,39455.378011030516,108.22958931227373
5,216,98,148,421.3834668561125,93.52201124876204,91.6515710237868,1158,42380.35502528877,104.50374198590143
6,264,80,134,465.48042927458147,88.03861799337149,70.43089439469719,1187,42239.94509563672,134.5036265745446
7,312,62,120,514.055228536779,86.46889204976938,53.61071307085702,1271,41506.362906332746,128.5264551903114
8,360,49,114,515.3106114107912,87.99665157339979,43.1183592709659,1345,38545.43125532204,144.8750735288477
9,408,40,106,510.15198438995714,92.9721494628445,37.1888597851378,1371,33853.147824617205,141.15608805226714
10,456,28,98,494.7815689143465,114.8008800819179,32.144246422937016,1428,28241.033554178914,123.3849673720303
11,504,29,92,479.3774001179356,96.95253590363214,28.11623541205332,1429,23837.309480668937,140.02044463024592
12,552,27,81,475.87108182891313,92.89096853184162,25.080561503597238,1429,18242.54489113618,105.9287237102013
13,600,23,73,461.1746488237268,88.9183312978642,20.451216198508767,1457,13337.302087416205,107.49017941123033
14,648,21,63,456.01794062658945,87.93463926523921,18.466274245700237,1470,8370.098905218734,109.28655619259023
15,696,18,54,460.4443624054239,96.62198345164263,17.391957021295674,1485,4473.283381112817,133.0705894437125
16,744,18,47,449.0851050074936,95.88901294660336,17.260022330388605,1484,693.8728039129411,158.0893150137474
17,792,17,39,475.13160444528506,100.62056196389737,17.105495533862555,1499,-1907.0979967519386,209.6824312712013
18,840,16,36,433.4637906018543,114.12173620369887,18.25947779259182,1499,-4945.5031538313415,62.246663396369996
19,888,17,33,389.99972400779984,114.07295593822755,19.392402509498684,1486,-7691.97241535878,110.44768707074064
20,936,18,25,432.2351774535557,114.64926009070102,20.636866816326183,1490,-9780.421228815738,110.61875431878835
21,984,19,24,381.4251939415904,116.6364438242901,22.160924326615117,1484,-11434.39550666667,76.1268076415922
22,1032,21,20,387.9067537968745,113.64089471112935,23.864587889337162,1479,-12842.549002056057,172.72727272727272
23,1080,22,19,351.6959151457124,122.04331738263296,26.849529824179253,1462,-13920.987091769777,55.84221331715806
24,1128,23,19,318.86255954863054,130.53337708715327,30.02267673004525,1461,-14853.947512650904,246.2294952728025
25,1176,26,22,254.30903096032407,128.7930243766867,33.48618633793854,1450,-15929.078886232915,55.39198933037217
26,1224,31,13,339.00860648753,121.87857019132063,37.782356759309394,1415,-17151.979409446,90.26575973248957
27,1272,34,14,321.3461686934177,130.5459470984178,44.385622013462054,1404,-17471.027028492907,228.57142857142858
28,1320,38,11,388.2771584236572,132.6894338886701,50.42198487769464,1368,-17815.491314206414,46.666666666666664
29,1368,42,9,393.6581016507639,141.0637411975601,59.24677130297524,1367,-18549.241314205843,166.66666666666666
